groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
LIMS1	TIE1	0.605333	0.603418
NT5C3A	VILL	0.605439	0.603461
WDFY1	PTCD2	0.605847	0.603532
PSMD5	NKIRAS2	0.605967	0.604282
PDLIM5	PARP3	0.607441	0.604897
EXOC3	SLC25A48	0.60934	0.605188
PPME1	ANAPC16	0.609461	0.605469
VCL	NPHP1	0.609607	0.60582
APIP	MKKS	0.610328	0.606627
TSFM	HDAC11	0.610378	0.606909
IMPA1	DHX16	0.610899	0.607208
ERH	MAP2K7	0.611051	0.609778
SNX12	GNL3L	0.611141	0.611414
PLEKHA7	VLDLR	0.612131	0.611602
BSND	FAM13A	0.612839	0.611608
RNPEP	SNAP47	0.613341	0.611626
ECHDC1	NT5DC2	0.613362	0.611654
BDH1	PIGK	0.614017	0.611867
CRKL	VKORC1	0.614028	0.612488
MRPS34	SRXN1	0.615301	0.612553
TXNRD2	TRAF7	0.615928	0.613323
FKBP3	FKBP15	0.616552	0.613887
ACTR10	SGMS2	0.616892	0.614191
COQ5	KIAA0232	0.616984	0.614764
TIMMDC1	INSIG2	0.617054	0.615682
SCARB2	FIBP	0.61741	0.616223
SF3A1	DEGS2	0.617673	0.61639
ITGA1	NPRL2	0.617805	0.616887
HSPH1	CFLAR	0.619518	0.617629
HDHD2	FBXO8	0.619656	0.617638
SCRIB	ARHGEF11	0.620294	0.617892
ANKFY1	SPNS2	0.623556	0.618949
RHOT1	AXIN1	0.62452	0.619261
MSI2	NOC2L	0.624787	0.619846
STAT5B	DMXL1	0.625249	0.620138
SRSF1	VPS8	0.626569	0.620437
CLPB	MYO1E	0.627027	0.620767
ZYX	SLC5A11	0.627242	0.620847
ILF2	SEPHS1	0.627768	0.621526
RDH14	LRRC41	0.62831	0.621698
PLAA	LARP4	0.628387	0.622365
STRN3	MICU1	0.628511	0.62271
RABGGTA	INTS3	0.628548	0.622897
GNMT	PIK3C2A	0.628711	0.62315
MTDH	EVI5	0.629066	0.623155
RRAS2	FAM81A	0.630097	0.623609
CYFIP1	CLCN3	0.630494	0.624131
OLA1	EXT2	0.631446	0.624184
EPHX1	PAF1	0.631876	0.625301
TMX1	TMEM242	0.632788	0.627316
TPRKB	MPV17	0.63298	0.627354
GLOD4	ATG4D	0.633011	0.627651
CALD1	CFAP36	0.633321	0.627978
TOM1	CLCN5	0.633676	0.628492
ITGA6	MRPS16	0.633777	0.628948
UBA3	GIGYF2	0.63386	0.629018
CAPN1	COG7	0.634055	0.629717
NID1	ELP5	0.634351	0.629776
GOLGB1	RNF4	0.635703	0.630285
SLC5A8	CCDC91	0.635718	0.63072
ENPP3	RMND5B	0.635789	0.630786
CTNND1	MRS2	0.63615	0.631514
MAPRE2	SORT1	0.636491	0.631793
PPP6C	MRPL51	0.636898	0.631979
MAP2K4	CYTH1	0.637921	0.632044
PYGB	MTMR14	0.638378	0.632496
CNPY3	MDM2	0.638663	0.632759
MYH10	SLC25A25	0.638885	0.633262
EXOC7	HNF1A	0.639078	0.633792
SMS	POP5	0.639134	0.634921
BUB3	XPC	0.639428	0.635083
CAND1	GBF1	0.639538	0.635304
EHD4	ZDHHC7	0.639563	0.635476
BLVRA	YIPF5	0.640077	0.635512
PRMT5	XPA	0.640465	0.636336
DDX46	AKIRIN1	0.640569	0.636659
TRA2B	PPP1R21	0.641188	0.63689
ZKSCAN1	NAB1	0.64143	0.636955
MAPRE1	CDC16	0.641682	0.637071
XRCC5	SLC25A36	0.641945	0.637148
CCAR2	SLC35A3	0.641997	0.637828
ASPH	PPTC7	0.642076	0.638213
PABPN1	DNAJB2	0.642982	0.638635
SAE1	SH3D19	0.643705	0.638671
MRPL45	REEP3	0.643769	0.639188
TJP1	GSTM3	0.644147	0.640309
PCNA	TRABD	0.64432	0.640511
ANP32E	SALL1	0.644393	0.641236
