gene	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
IFT88	-0.49749887667649695	-0.5685719626776349	-0.8265766126718495	-0.6199904919456785	-0.034204390168308674	0.07622280151867544	-0.06584460660129121	-0.480214946551782	-0.2070840848185309	-0.26845045790236677	-0.5238847780897977	-0.3686133602989745	-0.1169682219933863	-0.43676200437529245	0.021612258984956778	-0.18562359894715996
IFTAP	NA	NA	NA	NA	-0.11877809928814731	-0.32791122923863725	-0.02216315230504229	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGBP1	-0.17160454302634331	-0.25737473410314227	-0.2724334222923339	-0.04614829684966004	0.003594858969949044	0.4037929282199899	0.36096486966293284	-0.5112594657479832	-0.259099315155757	-0.28139964322966504	0.028019979340417223	0.36213520668817356	0.2817641005106468	-0.2430465402082338	0.06662987453159364	0.01607255697297827
IGDCC4	0.9849499040361228	0.7559810415713288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGF1	1.0536909789202928	1.2016246214242203	0.9036168590428653	0.12936320735358775	-0.03248091228312955	1.2153077758081072	0.614049270391208	0.06986988940707461	-0.12704373763437105	0.2155661782431897	0.20874522836592968	0.016248764316032505	0.9886478292318142	0.8449732145658502	0.9811725744030291	0.4540206556202995
IGF1R	-0.21487292310206474	-0.056872503148014175	-0.33300182382544996	-0.41226129963143876	-0.016062907089536616	0.26861531784855375	0.1770624756872352	0.6122294940523068	-0.023455782975669415	-0.06287545312391707	-0.968385328806213	-0.1792486313070505	-0.4098971587573379	0.3442105806995652	0.16266029702434537	-0.3570775226395533
IGF2	0.14001325969179224	0.20487250588672712	0.04371186786021575	-0.23248489181551513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGF2BP1	NA	NA	NA	NA	NA	NA	NA	-0.0502129929109183	0.07276024070840592	0.5601636717186008	0.4114475790489086	0.3444994799131925	-0.002261921789807775	-0.2389681434917455	-0.3349686509036164	NA
IGF2BP2	-0.930261097331539	-0.7912028204577464	-1.7940789510628723	-0.27705718825623205	0.6654678590087701	1.284275044326676	0.7358930331084974	-0.1525775040745787	0.8282150051000163	1.1687012116471374	0.8055226949478909	0.9750807868007774	0.9530466455449169	0.6688451488152205	0.4432933260004104	0.1757864351332723
IGF2R	-0.1904372078457266	-0.04450954383433903	-0.18719391469236513	-0.3825808754460578	0.20451013282308628	0.1656837049954638	-0.1206337067683414	0.07338586602494512	-0.2594220796327038	-0.018266685297348317	-0.17545928365850472	-0.10098139628017666	-0.4999336499705822	0.2571297216453541	-0.12553800366199575	-0.08176821680131363
IGFALS	NA	NA	NA	NA	0.49781275901792976	0.3575731437780585	0.004519605463679799	0.029209848310498554	-0.07718484272067805	-0.42661669867290186	-0.4317418053834774	-0.49632643002513177	-0.02284715724570363	0.14033567025311866	-0.22598557907592376	0.11114200490015769
IGFBP1	-0.45476561646187097	-1.7331596723703788	-1.0890767358117008	-0.8500625042060852	2.7383082856891217	-0.6258442747572661	-0.12383496856377585	0.20224018960448742	-0.13305356785697064	-2.5566095461587723	-1.9052278753314407	2.652537772086518	-1.3016319954333389	-1.4024992704264831	-1.4213819878284193	-0.37643469155889453
IGFBP2	-0.41896082232316534	-1.2090442951634754	-0.6040926664261601	0.005451637969176026	0.3870105832938522	1.3575001235180053	1.3207295694053063	0.7747386916237211	0.36486431592222046	0.38095961961332425	0.5301045338802588	-0.08377230337300534	1.3748205261176367	3.5641919587608157	1.8100604987144453	3.8584447544977056
IGFBP3	0.07102931676149993	-0.19739937243705263	0.4441679366626996	-0.6740980812331046	-0.1633374354605479	-1.342179896303942	-1.0185006851351375	0.7813933163573497	0.7215886402348399	-0.40818661705772463	-0.893975871012799	-0.028134284190150183	-0.16254069071649724	-0.07131251085130241	-0.16177091036824365	-0.30069778303118344
IGFBP4	0.6056982054521018	1.5447972219324981	0.5491889274425361	0.8727878074047606	-0.33430463272507094	-0.004817511875678804	-0.5522625181208429	0.10006483950355438	0.14162856404619717	-0.8406796954284577	-0.15432304186992862	0.4286262098759508	0.521638293504834	0.4328277173110884	0.3326012137812544	-0.09980453111794496
IGFBP5	-1.0428035910372966	-1.8110921476020057	0.45768764638922654	-2.04821140137825	-0.7171827125325008	-0.8336067438975334	-0.6021262265928264	1.135768850548594	0.07396725083990852	-0.14528230639401585	-0.952524886416505	-1.4687814405774633	-0.49409798210502487	0.4778137561811402	0.01709289246138912	-0.03193303426936023
IGFBP6	1.8497057839879707	3.081228082505382	1.5632165439742156	1.892745230881518	-0.12040948325297762	1.7288135903083077	0.9091636651520593	0.18425384236971032	-0.05692131055550498	0.6152649939015972	0.47905937344276206	1.0966792956055977	1.2407370112739162	1.5240075131687685	1.1882734645841153	1.0012298620160185
IGFBP7	-0.23030955720162716	0.15393575280482352	0.5939673249347877	0.5045917364647465	0.10295790540263994	0.8566314379079092	0.45626023822747896	-0.019876645455108033	0.26230865935516334	0.05077748870132126	0.17503906358825105	0.46758210412664525	0.9171490075786366	0.5424637947272242	0.5346528069774941	0.195760303370756
IGFLR1	0.20943852921472317	0.18181749816657433	0.14061766330974734	0.5585938067710767	-0.14064562670338088	0.8738332309349579	0.7916812518251237	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGFN1	-0.8981510380271889	-2.142106105464695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHA	NA	NA	NA	NA	-0.20603591294323975	1.2248605147728635	2.465278685818268	-1.2394446265912942	0.2403475487077278	-1.1937333861321129	-1.6868612662166567	-0.906357298181476	-0.1934956462331725	-0.2618932266185148	2.6120373546611484	1.6045204229530174
IGHD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0988645298974693
IGHD5-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6125401216384245
IGHE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9592495022545788
IGHG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49322508439188567	1.1871359356077926	3.8295146498498274
IGHG2B	NA	NA	NA	NA	0.021102710506353206	0.11826809020362698	0.5107240818693289	NA	NA	NA	NA	NA	NA	0.7136637292170636	1.71624035729606	5.725275101980518
IGHG2C	NA	NA	NA	NA	0.017627756108597712	0.17857709754882087	0.1575384073636841	NA	NA	NA	NA	NA	NA	1.2362875825899258	1.0683290864938582	7.270978599163355
IGHG3	NA	NA	NA	NA	-0.1958334899499527	1.351613179026417	1.4459907508763203	NA	NA	NA	NA	NA	NA	0.5330822646890601	NA	3.986038644259369
IGHJ1	NA	NA	NA	NA	-0.31430996158066477	0.12330322396227672	0.6791074454127666	NA	NA	NA	NA	NA	NA	0.8874159663235364	1.2285441703413866	0.8298687977792161
IGHJ2	NA	NA	NA	NA	-0.36394273687700396	1.1479122776066677	0.9732199960602935	NA	NA	NA	NA	NA	NA	NA	NA	0.44808292357054413
IGHJ3	NA	NA	NA	NA	-0.8290269666435803	1.8259846925675622	2.4527026941377086	-0.35700725672233286	0.3048663296671717	-0.04922746617828272	-0.35700725672233286	-0.35700725672233286	0.29329816185027663	0.8463966139655699	0.5249639775959529	1.7632869065925496
IGHJ4	NA	NA	NA	NA	-0.4364200567863794	0.37975625677006797	1.0330289095029546	NA	NA	NA	NA	NA	NA	NA	0.3863277503867955	1.1687299568514389
IGHM	NA	NA	NA	NA	-0.3444101303253404	2.073681953664461	0.85795915301624	-0.0458333906836097	-0.2254214746644323	0.017354996553963886	-0.644831445812674	-0.1577386980564347	1.5684660334239935	1.9390725372296205	2.055938838238692	6.5853856166718465
