	cat_ctx_control	podtreck_control	iri_young_sham
ABL1	6.045393290217568	1.7477602108967194	3.5280466207098526
ABL2	3.8228603819862896	1.5565913096208754	2.485505328792558
ABLIM1	8.666653421770471	2.5851819671715695	3.9752438855360857
ABLIM2	5.348966091800453	NA	NA
ABLIM3	7.096605241590929	1.1521431803020201	1.4682682939222949
ABR	7.446692834392482	2.112105857396616	3.9514866418979615
ABRACL	5.1677818204131105	4.34790382212925	4.778242316772232
ABRAXAS1	NA	1.4153785553699156	NA
ABRAXAS2	4.036618223243036	1.9821595770583118	NA
ABT1	4.493643058649282	1.3949419681737651	3.631168624519621
ABTB1	4.862183681588949	1.9779292892264368	4.358733838896918
ABTB2	5.523068591001526	1.4322766572605923	2.6132084414473686
ACAA1	7.319101351337186	NA	NA
ACAA1A	NA	4.121061105361933	5.990960432565882
ACAA1B	NA	6.421917291809266	8.018339106341058
ACAA2	8.521351081821129	6.420381225950858	7.557753454976354
