gene	cat_CKD34	mouse_2W
ADCK5	0.15494842037785184	0.048623662726672776
ADCY1	0.282710248698358	0.051636896851810984
ADCY3	0.4306587258130862	0.09713404468931394
ADCY4	0.22011141428999267	0.05396293853023438
ADCY5	0.24880745298520926	NA
ADCY6	0.17689827038159778	0.05329127907139835
ADCY7	0.41666316305976264	0.05399353221174685
ADCY9	0.18190245439871966	0.06105415234523647
ADCYAP1	0.2329042503548321	NA
ADCYAP1R1	0.39054890605215714	0.08241375036436778
ADD1	0.13587492183933444	0.0554957300192096
ADD2	0.7085040416642213	NA
ADD3	0.16305353296686062	0.10017041653638555
ADGB	0.47086809120962386	NA
ADGRA1	0.5983642172981569	0.07646730742386908
ADGRA2	0.2925378969528081	0.054389693578408005
ADGRA3	0.2519058238079304	0.04603796242506037
ADGRB1	0.22138107250915945	NA
ADGRB2	0.36199843339604204	NA
ADGRD1	0.47516607628735363	NA
ADGRD2	0.4793622971917884	NA
ADGRE1	NA	0.0801478133409391
ADGRE2	0.307499928244689	NA
ADGRE3	0.2937155983871357	NA
ADGRE5	0.40846119149071936	0.07637287148548177
ADGRF1	0.5428374288599526	0.12471505295530179
ADGRF5	0.16493139792193828	0.051060582525496986
ADGRG1	0.2889626827754562	0.061777756543938425
ADGRG2	0.47487023466820927	0.07853855930897695
ADGRG3	0.4816280167913935	NA
ADGRG4	0.4423058586791677	NA
ADGRG5	0.7731249347432843	NA
ADGRG6	0.2482086171719509	0.05190519068029514
ADGRL1	0.17700279364514307	0.09305760192796061
ADGRL2	0.2117355476851176	0.049984273924322094
ADGRL3	0.20788155871495947	NA
ADGRL4	0.19909259045171776	0.05003911074665467
ADGRV1	0.5454198937588297	NA
ADH1	NA	0.06375024022543564
ADH4	0.698549487106247	NA
ADH5	0.2339639796567624	0.05073249763417412
ADH7	NA	0.06669947749503187
ADHFE1	0.5645214529057813	0.05346354729369899
ADI1	0.21026194588184396	0.04939509277875002
ADIG	NA	0.821250270857786
ADIPOQ	NA	1.1345959599194906
ADIPOR1	0.23057276463644188	0.05906289165103177
ADIPOR2	0.1485662873061332	0.0876635315536039
ADIRF	0.3576003404704217	NA
ADK	0.33272038226538386	0.06648604109953918
ADM	0.33842416811220216	0.09839986738705021
ADM2	0.5365348099207199	0.15376871415265903
ADNP	0.13058094649796287	0.06091262113559475
ADNP2	0.15425691492976087	0.05905436963121301
ADO	0.13704975639143407	0.058847548803515275
ADORA1	0.30514485422950843	0.13201463027954116
ADORA2A	0.1690789540688531	0.06417832858187787
ADORA2B	0.4940591895917504	0.08387706206411956
ADORA3	0.5697464958430644	NA
ADPGK	0.1386293138728176	0.05796553520248837
ADPRH	NA	0.07403754429035278
ADPRM	0.18294339047410174	0.06578404110780786
ADPRS	0.12920999964082022	0.05188444677107425
ADRA1A	0.4443616036849563	0.09183332558058567
ADRA1B	0.3085655588221228	0.06871537729771393
ADRA1D	0.27433149582216815	NA
ADRA2B	0.2658100450920844	0.07101446360383043
ADRB2	0.5116390091435978	0.15697083983878027
ADRM1	0.1578941075238381	0.062124849104026054
ADSL	0.11634755754959167	0.06450061958899128
ADSS	NA	0.0525826826154527
ADSS1	0.3178482252422964	NA
ADSS2	0.1385676908090512	NA
ADSSL1	NA	0.06368903071446498
ADTRP	0.5187683781189208	0.08142699040198971
AEBP1	0.3262874755300533	0.0654313962723607
AEBP2	0.11909580634331171	0.04869726431885994
AEN	0.226096496502569	0.05163015077439375
AF357399	NA	0.27478459423018214
AFAP1	0.254598537574519	0.06227435296917266
AFAP1L1	0.2249849353469752	0.12221712239250418
AFAP1L2	0.20780806013131892	0.07138925221989631
AFDN	0.14454358565278452	0.052423410119800236
AFF1	0.13584944247437758	0.05912830732093874
AFF2	0.25001210520356687	NA
AFF3	0.5554605535527947	NA
AFF4	0.15518158292131817	0.059168305796765894
AFG1L	0.2069522634366802	0.07600000833947118
AFG2A	0.1362513973737564	NA
AFG2B	0.16080085703779926	NA
AFG3L1	NA	0.05514512602395388
AFG3L2	0.2211987388523059	0.06919388633859569
AFM	NA	0.10224603318060056
AFMID	0.5189026396332704	0.06923090483076348
AFTPH	0.15197492528568843	0.05732857542059429
AGA	0.1488849520473451	0.04888395918122418
AGAP1	0.1649062248801077	0.05116536905402048
AGAP2	0.5216611680858888	NA
AGAP3	0.18507256866448452	0.052016230008960246
AGBL2	0.277092363396789	NA
AGBL3	0.35762445194324766	0.06875481150840047
AGBL5	0.14657859448880753	0.06408420099366806
AGER	0.23453352960424215	0.06950300571293629
AGFG1	0.12218727535588923	0.05173684638007503
AGFG2	0.167079579516158	0.0742396598032581
AGGF1	0.11653229926489028	0.05047242230546112
AGK	0.1414659703627763	0.05499334889072581
