dataset,module,z,mean_lfc,n_genes
m_rna_2w,Innate_immune,7.36928533684427,2.6209069003669647,22
m_rna_2w,Lymphocyte,1.3967546286690775,0.8738511049869846,8
m_rna_2w,B_plasma,,,3
m_rna_2w,T_cell,,,4
m_rna_2w,Osteoclast_like_Mac,1.9500276356994846,1.801572074077857,7
m_rna_2w,Tubular_injury,6.428412676929403,3.759683072285357,15
m_rna_2w,OXPHOS,-6.627202205291329,-0.5602741253768957,21
m_rna_2w,FAO_PPARA,-5.3380951334711915,-0.6031209450032086,18
m_rna_2w,Glycolysis,-0.8020713299475594,0.4774686502925257,13
m_rna_2w,Hypoxia,0.11667308176548548,0.5448452726223721,11
m_rna_2w,PT_transport,-6.97242918835188,-1.9602519670191354,18
m_rna_2w,Podocyte,-0.921733986610217,-0.0638312236258484,10
m_rna_2w,TAL,-2.882807023016005,-0.8127196580922595,9
m_rna_2w,CD_principal,-0.08682557716346401,0.5098550282269038,7
m_rna_2w,CD_intercalated,-3.3847626278864573,-0.38244433239119024,8
m_rna_2w,Osmotic_TonEBP,0.6468310346862682,0.9195481116208841,9
m_rna_2w,Urea_concentration,-2.2930154243713066,0.041719916561095145,11
m_rna_2w,MR_downstream,0.5848062407692534,0.4951419807231901,11
m_rna_2w,MR_regulators,,,3
m_rna_2w,Cell_cycle,3.212144718112803,1.0994095141343856,10
m_rna_2w,ER_proteostasis,1.410814609704673,0.698646835164448,11
m_rna_2w,Lysosome,0.8703548215098849,0.7200726280745846,14
m_rna_2w,Redox_ferroptosis,-2.7240300081118414,-0.10933719882554688,11
m_rna_2w,Ciliogenesis,,,3
m_rna_2w,Matrix_integrin,3.0145291720019114,1.2722480723068637,11
m_rna_3w,ECM_fibrosis,9.15102385508657,1.678953978212026,34
m_rna_3w,Complement,3.3891781990422674,1.2341452426681145,17
m_rna_3w,Innate_immune,6.414212450519967,1.4580149245769831,22
m_rna_3w,Lymphocyte,0.9198257974525416,0.47382914776961615,8
m_rna_3w,B_plasma,,,3
m_rna_3w,T_cell,,,4
m_rna_3w,Osteoclast_like_Mac,2.7143851436258832,1.4040326602967212,7
m_rna_3w,Tubular_injury,6.000030055266105,2.7546252925307217,15
m_rna_3w,OXPHOS,-5.321917552132222,-0.17986907217174736,21
m_rna_3w,FAO_PPARA,-4.732333300389818,-0.21146304473324645,18
m_rna_3w,Glycolysis,0.3762480413488901,0.43110094962358675,13
m_rna_3w,Hypoxia,0.8698165210714164,0.42480996894181255,11
m_rna_3w,PT_transport,-7.022042230285674,-1.4098741010237648,18
m_rna_3w,Podocyte,-2.041429578120483,-0.2547114448231914,10
m_rna_3w,TAL,-2.0502514748815592,-0.2758958112488068,9
m_rna_3w,CD_principal,3.0438836935151636,0.9278363377907751,7
m_rna_3w,CD_intercalated,-0.32334294410581327,0.1569551965547091,8
m_rna_3w,Osmotic_TonEBP,1.8887617917567208,0.8029533739840432,9
m_rna_3w,Urea_concentration,0.16703358868454724,0.43326920934113117,11
m_rna_3w,MR_downstream,3.194907608909564,0.7547713003885342,11
m_rna_3w,MR_regulators,,,3
m_rna_3w,Cell_cycle,2.554575417648742,0.617377570929394,10
m_rna_3w,ER_proteostasis,-0.16984664152335205,0.31856212805526557,11
m_rna_3w,Lysosome,0.5495441385761524,0.4546080159075769,14
m_rna_3w,Redox_ferroptosis,-1.4023754511882625,0.15980560071267041,11
m_rna_3w,Ciliogenesis,,,3
m_rna_3w,Matrix_integrin,1.6598727025060307,0.6351023771579413,11
m_prot_d14,ECM_fibrosis,7.757252391834261,1.7324094715120502,31
m_prot_d14,Complement,6.931433056207893,2.2115463436638234,23
m_prot_d14,Innate_immune,6.306789319671094,2.827509475009008,15
m_prot_d14,Lymphocyte,,,4
m_prot_d14,B_plasma,,,3
m_prot_d14,T_cell,,,1
