collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	cat_CKD34	1.0	0.9253	-0.0747	1.0	1.0	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	cat_med_CKD12	0.9339	0.9162	-0.0177	0.5473	0.953	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	cat_med_CKD34	0.8809	0.8356	-0.0453	0.6682	0.9477	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	mouse_5D	0.4614	0.9357	0.4744	-0.11	0.7222	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	mouse_2W	0.5401	0.9596	0.4195	0.112	0.7656	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	mouse_3W	0.5379	0.9312	0.3934	0.0825	0.7801	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_2h	0.4789	0.8523	0.3734	-0.1979	0.5625	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_4h	0.5966	0.825	0.2284	-0.1049	0.68	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_24h	0.6042	0.9459	0.3417	0.1401	0.7889	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_48h	0.6995	0.9398	0.2402	0.1794	0.776	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_72h	0.6702	0.9085	0.2383	0.2199	0.8135	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_7d	0.6326	0.9536	0.321	0.1642	0.8143	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_14d	0.7198	0.9359	0.2161	0.1012	0.781	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_28d	0.5595	0.9405	0.381	0.0234	0.7997	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	IRI_12mo	0.7524	0.9185	0.1661	-0.0106	0.7887	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	cat_CKD12	0.9104	0.8411	-0.0693	0.7683	0.9607	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	cat_CKD34	1.0	0.9131	-0.0869	1.0	1.0	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	cat_med_CKD12	0.7604	0.9163	0.1559	0.6132	0.9292	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	cat_med_CKD34	0.9038	0.8303	-0.0735	0.7046	0.9424	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	mouse_5D	0.2486	0.9433	0.6947	-0.0554	0.6564	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	mouse_2W	0.4033	0.954	0.5507	0.2149	0.7213	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	mouse_3W	0.449	0.9184	0.4694	0.1529	0.7198	False
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	IRI_2h	0.1569	0.8327	0.6758	-0.1588	0.47	False
