raw	centred	drop
0.74573	0.57265	0.17308
0.89423	0.47115	0.42308
0.89957	0.50374	0.39583
0.86538	0.59295	0.27244
0.86859	0.45299	0.4156
0.81143	0.55288	0.25855
0.79594	0.59081	0.20513
0.85684	0.52511	0.33173
0.81517	0.48024	0.33494
0.79274	0.4797	0.31303
0.88408	0.47062	0.41346
0.79541	0.50427	0.29113
0.85363	0.48665	0.36699
0.82425	0.53579	0.28846
0.83868	0.61538	0.22329
0.78312	0.6047	0.17842
0.82532	0.48932	0.336
0.88088	0.59509	0.28579
0.82532	0.41079	0.41453
0.87821	0.53953	0.33868
0.80395	0.57639	0.22756
0.80983	0.6437	0.16613
0.89209	0.6047	0.28739
0.84562	0.68109	0.16453
0.88088	0.61165	0.26923
0.78632	0.61432	0.17201
0.8985	0.54647	0.35203
0.84188	0.5828	0.25908
0.84882	0.64316	0.20566
0.88194	0.50908	0.37286
0.85203	0.57692	0.27511
0.85577	0.68803	0.16774
0.72917	0.45887	0.2703
0.88835	0.43697	0.45139
0.82639	0.53259	0.2938
0.8937	0.44658	0.44712
0.78526	0.53205	0.25321
0.86218	0.55823	0.30395
0.80716	0.68162	0.12553
0.84402	0.52137	0.32265
0.89156	0.49038	0.40118
0.79434	0.42682	0.36752
0.75053	0.51068	0.23985
0.84241	0.59989	0.24252
0.836	0.52244	0.31357
0.78365	0.63515	0.1485
0.87714	0.52991	0.34722
0.81571	0.56891	0.24679
0.80235	0.55128	0.25107
0.88568	0.47703	0.40865
0.88248	0.56036	0.32212
0.78579	0.52511	0.26068
0.87126	0.50534	0.36592
0.80395	0.55662	0.24733
0.77404	0.59295	0.18109
0.88248	0.43803	0.44444
0.89637	0.58173	0.31464
0.82318	0.58013	0.24306
0.80769	0.44177	0.36592
0.81571	0.48985	0.32585
0.86058	0.62286	0.23771
0.86966	0.68056	0.1891
0.80716	0.57585	0.2313
0.84829	0.49626	0.35203
0.76976	0.59188	0.17788
0.89316	0.4797	0.41346
0.80823	0.4984	0.30983
0.8109	0.55983	0.25107
0.8985	0.54915	0.34936
0.82799	0.64744	0.18056
0.89209	0.43536	0.45673
0.89316	0.56197	0.3312
